backend,operation,thread_mode,qtype,rows,width,shape,iterations,ms,input_gb_s,output_gb_s,encoded_bytes,decoded_bytes,notes
libgguf_cpu,dequantize,default,MXFP4,11008,4096,11008x4096,1,19.221999,1.246146,9.382743,23953408,180355072,
cuda,quantize,,NVFP4,11008,4096,11008x4096,20,3.180032,56.714861,,25362432,180355072,
cuda,dequantize,,NVFP4,11008,4096,11008x4096,30,0.324635,78.126071,555.563172,25362432,180355072,
libgguf_cpu,quantize,1_thread,NVFP4,11008,4096,11008x4096,1,155.147788,1.162473,,25362432,180355072,
libgguf_cpu,dequantize,1_thread,NVFP4,11008,4096,11008x4096,1,65.256860,0.388655,2.763772,25362432,180355072,
libgguf_cpu,quantize,default,NVFP4,11008,4096,11008x4096,1,16.849246,10.704044,,25362432,180355072,
libgguf_cpu,dequantize,default,NVFP4,11008,4096,11008x4096,1,19.335787,1.311683,9.327527,25362432,180355072,
cuda,quantize,,Q1_0,11008,4096,11008x4096,20,0.973261,185.310119,,6340608,180355072,
cuda,dequantize,,Q1_0,11008,4096,11008x4096,30,0.269278,23.546711,669.773122,6340608,180355072,
libgguf_cpu,quantize,1_thread,Q1_0,11008,4096,11008x4096,1,33.887571,5.322160,,6340608,180355072,
libgguf_cpu,dequantize,1_thread,Q1_0,11008,4096,11008x4096,1,72.779194,0.087121,2.478113,6340608,180355072,
libgguf_cpu,quantize,default,Q1_0,11008,4096,11008x4096,1,20.753617,8.690296,,6340608,180355072,
libgguf_cpu,dequantize,default,Q1_0,11008,4096,11008x4096,1,21.791049,0.290973,8.276567,6340608,180355072,
cuda,quantize,,Q2_K,11008,4096,11008x4096,20,1.555456,115.949969,,14794752,180355072,
cuda,dequantize,,Q2_K,11008,4096,11008x4096,30,0.241801,61.185771,745.883689,14794752,180355072,
libgguf_cpu,quantize,1_thread,Q2_K,11008,4096,11008x4096,1,2590.910772,0.069611,,14794752,180355072,
libgguf_cpu,dequantize,1_thread,Q2_K,11008,4096,11008x4096,1,54.770947,0.270120,3.292897,14794752,180355072,
libgguf_cpu,quantize,default,Q2_K,11008,4096,11008x4096,1,192.885421,0.935037,,14794752,180355072,
libgguf_cpu,dequantize,default,Q2_K,11008,4096,11008x4096,1,19.543116,0.757031,9.228573,14794752,180355072,
cuda,quantize,,Q3_K,11008,4096,11008x4096,20,2.453299,73.515320,,19374080,180355072,
cuda,dequantize,,Q3_K,11008,4096,11008x4096,30,0.245248,78.997912,735.398748,19374080,180355072,
libgguf_cpu,quantize,1_thread,Q3_K,11008,4096,11008x4096,1,234.319805,0.769696,,19374080,180355072,
libgguf_cpu,dequantize,1_thread,Q3_K,11008,4096,11008x4096,1,71.661453,0.270356,2.516765,19374080,180355072,
libgguf_cpu,quantize,default,Q3_K,11008,4096,11008x4096,1,16.888166,10.679376,,19374080,180355072,
libgguf_cpu,dequantize,default,Q3_K,11008,4096,11008x4096,1,17.869488,1.084199,10.092907,19374080,180355072,
cuda,quantize,,Q4_0,11008,4096,11008x4096,20,0.384355,469.240605,,25362432,180355072,
cuda,dequantize,,Q4_0,11008,4096,11008x4096,30,0.252245,100.546686,714.998654,25362432,180355072,
libgguf_cpu,quantize,1_thread,Q4_0,11008,4096,11008x4096,1,33.343874,5.408942,,25362432,180355072,
libgguf_cpu,dequantize,1_thread,Q4_0,11008,4096,11008x4096,1,22.599814,1.122241,7.980379,25362432,180355072,
libgguf_cpu,quantize,default,Q4_0,11008,4096,11008x4096,1,16.786186,10.744256,,25362432,180355072,
libgguf_cpu,dequantize,default,Q4_0,11008,4096,11008x4096,1,18.557994,1.366658,9.718457,25362432,180355072,
cuda,quantize,,Q4_1,11008,4096,11008x4096,20,0.417997,431.474780,,28180480,180355072,
cuda,dequantize,,Q4_1,11008,4096,11008x4096,30,0.255590,110.256407,705.641006,28180480,180355072,
libgguf_cpu,quantize,1_thread,Q4_1,11008,4096,11008x4096,1,33.273006,5.420462,,28180480,180355072,
libgguf_cpu,dequantize,1_thread,Q4_1,11008,4096,11008x4096,1,23.452157,1.201616,7.690340,28180480,180355072,
libgguf_cpu,quantize,default,Q4_1,11008,4096,11008x4096,1,16.396869,10.999360,,28180480,180355072,
libgguf_cpu,dequantize,default,Q4_1,11008,4096,11008x4096,1,19.450837,1.448806,9.272355,28180480,180355072,
cuda,quantize,,Q4_K,11008,4096,11008x4096,20,2.161454,83.441535,,25362432,180355072,
cuda,dequantize,,Q4_K,11008,4096,11008x4096,30,0.252041,100.628387,715.579643,25362432,180355072,
libgguf_cpu,quantize,1_thread,Q4_K,11008,4096,11008x4096,1,2734.307748,0.065960,,25362432,180355072,
libgguf_cpu,dequantize,1_thread,Q4_K,11008,4096,11008x4096,1,26.008948,0.975143,6.934347,25362432,180355072,
libgguf_cpu,quantize,default,Q4_K,11008,4096,11008x4096,1,199.304073,0.904924,,25362432,180355072,
libgguf_cpu,dequantize,default,Q4_K,11008,4096,11008x4096,1,19.976993,1.269582,9.028139,25362432,180355072,
cuda,quantize,,Q5_0,11008,4096,11008x4096,20,0.754432,239.060736,,30998528,180355072,
cuda,dequantize,,Q5_0,11008,4096,11008x4096,30,0.258628,119.857460,697.352497,30998528,180355072,
libgguf_cpu,quantize,1_thread,Q5_0,11008,4096,11008x4096,1,56.251436,3.206231,,30998528,180355072,
libgguf_cpu,dequantize,1_thread,Q5_0,11008,4096,11008x4096,1,54.792226,0.565747,3.291618,30998528,180355072,
libgguf_cpu,quantize,default,Q5_0,11008,4096,11008x4096,1,16.247040,11.100796,,30998528,180355072,
libgguf_cpu,dequantize,default,Q5_0,11008,4096,11008x4096,1,18.813122,1.647708,9.586664,30998528,180355072,
cuda,quantize,,Q5_1,11008,4096,11008x4096,20,0.548813,328.627659,,33816576,180355072,
cuda,dequantize,,Q5_1,11008,4096,11008x4096,30,0.261598,129.269309,689.436312,33816576,180355072,
libgguf_cpu,quantize,1_thread,Q5_1,11008,4096,11008x4096,1,70.868519,2.544925,,33816576,180355072,
libgguf_cpu,dequantize,1_thread,Q5_1,11008,4096,11008x4096,1,56.546774,0.598028,3.189485,33816576,180355072,
libgguf_cpu,quantize,default,Q5_1,11008,4096,11008x4096,1,18.991971,9.496385,,33816576,180355072,
libgguf_cpu,dequantize,default,Q5_1,11008,4096,11008x4096,1,23.095770,1.464189,7.809009,33816576,180355072,
cuda,quantize,,Q5_K,11008,4096,11008x4096,20,2.590370,69.625227,,30998528,180355072,
cuda,dequantize,,Q5_K,11008,4096,11008x4096,30,0.258799,119.778423,696.892641,30998528,180355072,
libgguf_cpu,quantize,1_thread,Q5_K,11008,4096,11008x4096,1,2136.186709,0.084429,,30998528,180355072,
libgguf_cpu,dequantize,1_thread,Q5_K,11008,4096,11008x4096,1,24.576309,1.261317,7.338574,30998528,180355072,
libgguf_cpu,quantize,default,Q5_K,11008,4096,11008x4096,1,105.924880,1.702670,,30998528,180355072,
libgguf_cpu,dequantize,default,Q5_K,11008,4096,11008x4096,1,20.628548,1.502700,8.742984,30998528,180355072,
cuda,quantize,,Q6_K,11008,4096,11008x4096,20,1.939200,93.004884,,36986880,180355072,
cuda,dequantize,,Q6_K,11008,4096,11008x4096,30,0.269449,137.268811,669.348869,36986880,180355072,
libgguf_cpu,quantize,1_thread,Q6_K,11008,4096,11008x4096,1,1729.489933,0.104282,,36986880,180355072,
libgguf_cpu,dequantize,1_thread,Q6_K,11008,4096,11008x4096,1,63.914500,0.578693,2.821818,36986880,180355072,
libgguf_cpu,quantize,default,Q6_K,11008,4096,11008x4096,1,98.328096,1.834217,,36986880,180355072,
libgguf_cpu,dequantize,default,Q6_K,11008,4096,11008x4096,1,20.163052,1.834389,8.944830,36986880,180355072,
cuda,quantize,,Q8_0,11008,4096,11008x4096,20,1.053901,171.130973,,47906816,180355072,
cuda,dequantize,,Q8_0,11008,4096,11008x4096,30,0.277231,172.804730,650.558983,47906816,180355072,
libgguf_cpu,quantize,1_thread,Q8_0,11008,4096,11008x4096,1,18.658543,9.666086,,47906816,180355072,
libgguf_cpu,dequantize,1_thread,Q8_0,11008,4096,11008x4096,1,22.687223,2.111621,7.949632,47906816,180355072,
libgguf_cpu,quantize,default,Q8_0,11008,4096,11008x4096,1,15.709534,11.480612,,47906816,180355072,
libgguf_cpu,dequantize,default,Q8_0,11008,4096,11008x4096,1,18.310646,2.616337,9.849738,47906816,180355072,
cuda,quantize,,TQ1_0,11008,4096,11008x4096,20,7.995192,22.557941,,9510912,180355072,
cuda,dequantize,,TQ1_0,11008,4096,11008x4096,30,0.363171,26.188509,496.611719,9510912,180355072,
libgguf_cpu,quantize,1_thread,TQ1_0,11008,4096,11008x4096,1,63.435943,2.843105,,9510912,180355072,
libgguf_cpu,dequantize,1_thread,TQ1_0,11008,4096,11008x4096,1,28.166983,0.337662,6.403067,9510912,180355072,
libgguf_cpu,quantize,default,TQ1_0,11008,4096,11008x4096,1,16.953315,10.638337,,9510912,180355072,
libgguf_cpu,dequantize,default,TQ1_0,11008,4096,11008x4096,1,19.301748,0.492749,9.343976,9510912,180355072,
cuda,quantize,,TQ2_0,11008,4096,11008x4096,20,8.889754,20.287972,,11624448,180355072,
cuda,dequantize,,TQ2_0,11008,4096,11008x4096,30,0.271661,42.790302,663.898026,11624448,180355072,
libgguf_cpu,quantize,1_thread,TQ2_0,11008,4096,11008x4096,1,38.628946,4.668910,,11624448,180355072,
libgguf_cpu,dequantize,1_thread,TQ2_0,11008,4096,11008x4096,1,22.564034,0.515176,7.993033,11624448,180355072,
libgguf_cpu,quantize,default,TQ2_0,11008,4096,11008x4096,1,18.129776,9.948003,,11624448,180355072,
libgguf_cpu,dequantize,default,TQ2_0,11008,4096,11008x4096,1,21.016675,0.553106,8.581523,11624448,180355072,
