backend,operation,thread_mode,qtype,rows,width,shape,iterations,ms,input_gb_s,output_gb_s,encoded_bytes,decoded_bytes,notes
libgguf_cpu,quantize,1_thread,Q4_K,1,4096,1x4096,50,0.257732,0.063570,,2304,16384,
libgguf_cpu,dequantize,1_thread,Q4_K,1,4096,1x4096,50,0.007321,0.314730,2.238079,2304,16384,
libgguf_cpu,quantize,default,Q4_K,1,4096,1x4096,50,0.264576,0.061926,,2304,16384,
libgguf_cpu,dequantize,default,Q4_K,1,4096,1x4096,50,0.010553,0.218319,1.552491,2304,16384,
cuda,quantize,,Q5_0,1,4096,1x4096,200,0.008510,1.925174,,2816,16384,
cuda,dequantize,,Q5_0,1,4096,1x4096,200,0.009523,0.295699,1.720430,2816,16384,
libgguf_cpu,quantize,1_thread,Q5_0,1,4096,1x4096,50,0.011908,1.375912,,2816,16384,
libgguf_cpu,dequantize,1_thread,Q5_0,1,4096,1x4096,50,0.013586,0.207276,1.205972,2816,16384,
libgguf_cpu,quantize,default,Q5_0,1,4096,1x4096,50,0.011859,1.381527,,2816,16384,
libgguf_cpu,dequantize,default,Q5_0,1,4096,1x4096,50,0.010174,0.276775,1.610325,2816,16384,
cuda,quantize,,Q5_1,1,4096,1x4096,200,0.008234,1.989818,,3072,16384,
cuda,dequantize,,Q5_1,1,4096,1x4096,200,0.012416,0.247423,1.319588,3072,16384,
libgguf_cpu,quantize,1_thread,Q5_1,1,4096,1x4096,50,0.021943,0.746673,,3072,16384,
libgguf_cpu,dequantize,1_thread,Q5_1,1,4096,1x4096,50,0.019241,0.159662,0.851528,3072,16384,
libgguf_cpu,quantize,default,Q5_1,1,4096,1x4096,50,0.023860,0.686670,,3072,16384,
libgguf_cpu,dequantize,default,Q5_1,1,4096,1x4096,50,0.017983,0.170823,0.911057,3072,16384,
cuda,quantize,,Q5_K,1,4096,1x4096,200,0.169267,0.096794,,2816,16384,
cuda,dequantize,,Q5_K,1,4096,1x4096,200,0.011510,0.244662,1.423488,2816,16384,
libgguf_cpu,quantize,1_thread,Q5_K,1,4096,1x4096,50,0.232665,0.070419,,2816,16384,
libgguf_cpu,dequantize,1_thread,Q5_K,1,4096,1x4096,50,0.014891,0.189104,1.100240,2816,16384,
libgguf_cpu,quantize,default,Q5_K,1,4096,1x4096,50,0.208654,0.078522,,2816,16384,
libgguf_cpu,dequantize,default,Q5_K,1,4096,1x4096,50,0.007321,0.384670,2.238081,2816,16384,
cuda,quantize,,Q6_K,1,4096,1x4096,200,0.097193,0.168572,,3360,16384,
cuda,dequantize,,Q6_K,1,4096,1x4096,200,0.008407,0.399650,1.948769,3360,16384,
libgguf_cpu,quantize,1_thread,Q6_K,1,4096,1x4096,50,0.166806,0.098222,,3360,16384,
libgguf_cpu,dequantize,1_thread,Q6_K,1,4096,1x4096,50,0.018100,0.185632,0.905178,3360,16384,
libgguf_cpu,quantize,default,Q6_K,1,4096,1x4096,50,0.165613,0.098929,,3360,16384,
libgguf_cpu,dequantize,default,Q6_K,1,4096,1x4096,50,0.012445,0.269994,1.316540,3360,16384,
cuda,quantize,,Q8_0,1,4096,1x4096,200,0.008755,1.871345,,4352,16384,
cuda,dequantize,,Q8_0,1,4096,1x4096,200,0.008515,0.511124,1.924233,4352,16384,
libgguf_cpu,quantize,1_thread,Q8_0,1,4096,1x4096,50,0.017139,0.955953,,4352,16384,
libgguf_cpu,dequantize,1_thread,Q8_0,1,4096,1x4096,50,0.008175,0.532331,2.004071,4352,16384,
libgguf_cpu,quantize,default,Q8_0,1,4096,1x4096,50,0.009885,1.657501,,4352,16384,
libgguf_cpu,dequantize,default,Q8_0,1,4096,1x4096,50,0.008142,0.534490,2.012198,4352,16384,
cuda,quantize,,TQ1_0,1,4096,1x4096,200,0.032174,0.509230,,864,16384,
cuda,dequantize,,TQ1_0,1,4096,1x4096,200,0.009667,0.089380,1.694915,864,16384,
libgguf_cpu,quantize,1_thread,TQ1_0,1,4096,1x4096,50,0.022282,0.735306,,864,16384,
libgguf_cpu,dequantize,1_thread,TQ1_0,1,4096,1x4096,50,0.008820,0.097960,1.857609,864,16384,
libgguf_cpu,quantize,default,TQ1_0,1,4096,1x4096,50,0.014023,1.168356,,864,16384,
libgguf_cpu,dequantize,default,TQ1_0,1,4096,1x4096,50,0.008246,0.104779,1.986912,864,16384,
cuda,quantize,,TQ2_0,1,4096,1x4096,200,0.031406,0.521682,,1056,16384,
cuda,dequantize,,TQ2_0,1,4096,1x4096,200,0.009610,0.109883,1.704848,1056,16384,
libgguf_cpu,quantize,1_thread,TQ2_0,1,4096,1x4096,50,0.011954,1.370548,,1056,16384,
libgguf_cpu,dequantize,1_thread,TQ2_0,1,4096,1x4096,50,0.008117,0.130098,2.018491,1056,16384,
libgguf_cpu,quantize,default,TQ2_0,1,4096,1x4096,50,0.011811,1.387214,,1056,16384,
libgguf_cpu,dequantize,default,TQ2_0,1,4096,1x4096,50,0.007810,0.135205,2.097727,1056,16384,
cuda,quantize,,IQ2_XXS,64,4096,64x4096,3,58.359807,0.017967,,67584,1048576,
cuda,dequantize,,IQ2_XXS,64,4096,64x4096,100,0.008185,8.257419,128.115106,67584,1048576,
libgguf_cpu,quantize,1_thread,IQ2_XXS,64,4096,64x4096,1,93.664445,0.011195,,67584,1048576,
libgguf_cpu,dequantize,1_thread,IQ2_XXS,64,4096,64x4096,10,0.225199,0.300108,4.656226,67584,1048576,
libgguf_cpu,quantize,default,IQ2_XXS,64,4096,64x4096,1,5.658238,0.185318,,67584,1048576,
libgguf_cpu,dequantize,default,IQ2_XXS,64,4096,64x4096,10,4.395766,0.015375,0.238542,67584,1048576,
cuda,quantize,,IQ2_XS,64,4096,64x4096,3,169.488383,0.006187,,75776,1048576,
cuda,dequantize,,IQ2_XS,64,4096,64x4096,100,0.008581,8.830549,122.195707,75776,1048576,
libgguf_cpu,quantize,1_thread,IQ2_XS,64,4096,64x4096,1,216.261195,0.004849,,75776,1048576,
libgguf_cpu,dequantize,1_thread,IQ2_XS,64,4096,64x4096,10,0.232788,0.325515,4.504428,75776,1048576,
libgguf_cpu,quantize,default,IQ2_XS,64,4096,64x4096,1,10.327892,0.101529,,75776,1048576,
